"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C4,C9","5","C","","","","",""
"C5,C6","2","4.7uf","","","","",""
"C7","1",".01uF","","","","",""
"C8","1","220uF","","","","",""
"C10,C12,C13","3","2.2uF","","","","",""
"C11","1",".1uF","","","","",""
"C18","1","10nF","","","","",""
"C19","1","1uF","","","","",""
"C20,C23,C24,C25,C26,C27","6","100nF","","","","",""
"C21,C22","2","22pF","","","","",""
"C28","1","4.7uF","","","","",""
"CN1","1","SM10B-SRSS-TB","","","","drone_lib:CONN-SMD_10P-P1.00_SM10B-SRSS-TB-LF-SN","https://lcsc.com/product-detail/Others_JST-Sales-America__JST-Sales-America-SM10B-SRSS-TB-LF-SN_C160409.html"
"D1,D3,D4","3","D_Schottky","","","","",""
"D2","1","SS34","","","","Diode_SMD:D_SMA","https://www.vishay.com/docs/88751/ss32.pdf"
"FB1","1","600ohms 100MHz","","","","",""
"IMU-U2","1","TLV73333PDBV","","","","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/tlv733p.pdf"
"J2","1","USB_C_Receptacle_USB2.0_14P","","","","","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J3","1","Conn_01x04","","","","",""
"L2","1","22uH","","","","",""
"R1,R2","2","5.1k","","","","",""
"R3,R4,R7,R9,R10,R11,R12","7","10k","","","","",""
"R5,R6","2","R","","","","",""
"R8","1","3.24","","","","",""
"SW1,SW2","2","SW_Push","","","","",""
"U1","1","AP2112K-3.3","","","","Package_TO_SOT_SMD:SOT-23-5","https://www.diodes.com/assets/Datasheets/AP2112.pdf"
"U2","1","USBLC6-2SC6","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf"
"U4","1","STM32F405RGTx","","","","Package_QFP:LQFP-64_10x10mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32f405rg.pdf"
"U5","1","TPS5430DDAR","","","","drone_lib:ESOP-8_L4.9-W3.9-P1.27-LS6.0-TL-EP","https://lcsc.com/product-detail/DC-DC-Converters_TI_TPS5430DDAR_TPS5430DDAR_C9864.html"
"U6","1","ICM-42605","","","","drone_lib:LGA-14_L3.0-W2.5-P0.50-TL","https://www.lcsc.com/datasheet/C2655099.pdf"
"U7","1","W25Q128JVE","","","","Package_SON:WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm","https://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf"
"Y1","1","Crystal_GND24","","","","",""
