Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,
"C1, C19, C2, C3, C4",0805,5,1uF,
"C12, C13",0805,2,2.2uF,
"C14, C15, C20, C24, C25, C26, C27, C29, C30, C31",0805,10,100nF,
C18,0805,1,10nF,
"C21, C22",0805,2,22pF,
C28,0805,1,4.7uF,
C5,1210,1,10uF,
C7,0805,1,.01uF,
C8,CP_EIA-7343-31_Kemet-D,1,220uF,
CN1,CONN-SMD_10P-P1.00_SM10B-SRSS-TB-LF-SN,1,SM10B-SRSS-TB,C160409
D1,D_SOD-123,1,D_Zener,
"D3, D4, D7, D9",D_SMA,4,D_Schottky,
"D5, D6",0805,2,LED,
D8,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N914,
FB1,0805,1,600ohms 100MHz,
IMU-U2,SOT-23-5,1,TLV73333PDBV,
J1,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
"J3, J4, J5, J6",PinHeader_1x04_P2.54mm_Vertical,4,Conn_01x04,
J7,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06,
L2,IND-SMD_L6.0-W6.0,1,15uH,C354622
Q2,TO-92_Inline,1,2N7000,
"R1, R2",0805,2,5.1k,
"R13, R15, R17, R18, R20, R3, R4, R7, R9",0805,9,10k,
R14,0805,1,470,
R19,0805,1,330,
R5,0805,1,1k,
R6,0805,1,100k,
R8,0805,1,3.24k,
"SW1, SW2",SW_PUSH_6mm,2,SW_Push,
U1,SOT-23-5,1,AP2112K-3.3,
U2,SOT-23-6,1,USBLC6-2SC6,
U3,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,GD25Q16ETIGR,C2904431
U4,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,
U5,ESOP-8_L4.9-W3.9-P1.27-LS6.0-TL-EP,1,TPS5430DDAR,C9864
U7,LGA-14_L3.0-W2.5-P0.50-BR,1,BMI270,C2836813
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8MHz,
