Designator,Mid X,Mid Y,Rotation,Layer
BZ1,161.5,-60.0,0.0,top
C1,134.0,-123.5,0.0,top
C12,149.325,-90.75,0.0,top
C13,151.825,-80.25,0.0,top
C14,145.0,-92.5,90.0,top
C15,142.0,-95.0,0.0,top
C18,134.5,-88.0,270.0,top
C19,132.0,-88.0,270.0,top
C2,126.5,-125.5,270.0,top
C20,118.5,-74.5,270.0,top
C21,133.825,-78.35,90.0,top
C22,132.356,-84.896,180.0,top
C24,150.325,-88.75,0.0,top
C25,139.0,-74.75,90.0,top
C26,138.0,-91.5,180.0,top
C27,136.325,-77.25,90.0,top
C28,136.675,-73.5,90.0,top
C29,164.5,-106.0,0.0,top
C3,150.325,-106.5,0.0,top
C30,120.5,-94.5,0.0,top
C31,149.33,-77.525,90.0,top
C4,146.0,-96.0,0.0,top
C5,159.5,-115.0,180.0,top
C7,167.0,-121.0,180.0,top
C8,154.75,-125.0,90.0,top
CN1,178.0,-108.5,90.0,top
CURRENTM1,167.662,-96.326,270.0,top
D1,174.0,-100.5,0.0,top
D3,151.0,-117.0,270.0,top
D4,169.44,-88.452,0.0,top
D5,112.5,-116.5,0.0,top
D6,156.0,-69.5,0.0,top
D7,169.44,-78.546,0.0,top
D8,166.0,-70.5,90.0,top
D9,168.5,-125.75,270.0,top
FB1,130.0,-88.0,90.0,top
IMU-U2,146.825,-105.5,270.0,top
J1,146.5,-62.5,270.0,top
J2,178.5,-84.0,90.0,top
J3,178.076,-59.496,0.0,top
J4,120.73,-102.0,90.0,top
J5,133.5,-102.0,90.0,top
J6,175.5,-94.5,90.0,top
J7,106.295,-106.145,0.0,top
JP10,145.5,-99.0,90.0,top
JP2,168.5,-111.0,0.0,top
JP3,151.0,-110.85,90.0,top
JP5,126.0,-121.0,270.0,top
JP6,151.5,-103.5,90.0,top
JP8,159.0,-102.15,90.0,top
L2,162.5,-126.5,180.0,top
Q2,171.98,-57.59,180.0,top
R1,169.948,-85.404,0.0,top
R13,161.5,-104.5,90.0,top
R14,123.0,-116.5,180.0,top
R15,114.5,-84.0,270.0,top
R17,120.0,-86.5,270.0,top
R18,117.5,-97.5,0.0,top
R19,151.5,-69.5,180.0,top
R2,170.202,-81.594,180.0,top
R20,170.5,-67.5,0.0,top
R3,148.5,-93.0,180.0,top
R4,143.0,-69.0,180.0,top
R5,170.0,-101.5,90.0,top
R6,163.0,-109.0,90.0,top
R7,172.0,-117.5,90.0,top
R8,173.0,-114.5,0.0,top
R9,152.676,-84.896,180.0,top
SW1,110.5,-73.5,0.0,top
SW2,126.25,-65.75,0.0,top
U1,130.0,-123.5,0.0,top
U2,164.5,-83.5,0.0,top
U3,116.0,-91.0,90.0,top
U4,143.0,-83.5,270.0,top
U5,167.0,-116.5,180.0,top
U7,142.5,-92.5,0.0,top
USB5V1,163.964,-88.452,180.0,top
USB5V2,164.0,-77.15,90.0,top
Y1,133.325,-81.85,180.0,top
